optimizer_updates,r2_theta1,r2_theta2
40200,0.975324699345867,0.9758780954211743
40300,0.9754263648170437,0.9759717182376586
40400,0.9755301393833952,0.9760669034138538
40500,0.9756415110582226,0.9761695344803897
40600,0.9757639155961345,0.9762734776627997
40700,0.9758940061931359,0.9763663814210477
40800,0.9760160067004948,0.9764073493406883
40900,0.9760484735528943,0.9763981111921906
41000,0.9758928783997806,0.9763675713976776
41100,0.9759267739745608,0.9763924920788271
41200,0.9758971989876225,0.9763551740109748
41300,0.9759641994557453,0.9764415114916436
41400,0.9760684185530171,0.9765504107819686
41500,0.9761848944045333,0.9766812394691561
41600,0.9762698376887913,0.9766772818020085
41700,0.9763035419618354,0.9767634157590643
41800,0.9763679953240387,0.9768176252481282
41900,0.9764531830079195,0.9768964429100173
42000,0.9765421070345158,0.9769788385189371
42100,0.9766339415161133,0.9770634460283806
42200,0.9767303450555471,0.9771505090648387
42300,0.9768244273787446,0.9772420262257931
42400,0.9769179185265497,0.9773244230014938
42500,0.9770066896943217,0.9773999777910855
42600,0.977087555274763,0.9774687282673191
42700,0.9771704711907483,0.9775457411466805
42800,0.9772416771602902,0.9776143552075044
42900,0.9773045857551236,0.9776757618153934
43000,0.977331936725856,0.9777550362736865
43100,0.977121594012951,0.9775720218862197
43200,0.9772262590312494,0.9776827797151151
43300,0.9773824479718829,0.9778055967259432
43400,0.9774154469483589,0.9778367182126526
43500,0.9775016125408931,0.9779198153292693
43600,0.9775905800075653,0.9780045647672119
43700,0.9776822621506699,0.9780946128340691
43800,0.9777766868508437,0.9781893947949322
43900,0.977872254142116,0.9782865245508874
44000,0.9779688770725726,0.9783898056272179
44100,0.9780302035958607,0.9785204161247146
44200,0.9780818872085733,0.9785480674615341
44300,0.9782517951193622,0.9784758361132793
44400,0.9783182964626969,0.9787439238030334
44500,0.9784149773215661,0.9787812802446272
44600,0.9784525023310915,0.9788572921651791
44700,0.9785239110879984,0.9788983039767609
44800,0.9785845028857505,0.9789601606762146
44900,0.9786578155667133,0.9790208345606414
45000,0.9787339688871113,0.9790857636386345
45100,0.9788008550539153,0.9791500889317817
45200,0.9788745159737879,0.9792032583958992
45300,0.9789194031200921,0.9792025784052524
45400,0.9790106483058222,0.9793233914249825
45500,0.97909756344556,0.9794197536452472
45600,0.979207355202256,0.9795088707702633
45700,0.9793155079676057,0.9796009475523139
45800,0.9794248222984585,0.9796730113345634
45900,0.979497810413698,0.9797254478534331
46000,0.9794724167824967,0.9796777805777891
46100,0.9791557453432017,0.9797267731285643
46200,0.9790208885675287,0.9793695633752205
46300,0.9791501477163238,0.9794880423445995
46400,0.9792151430288653,0.9794965716894842
46500,0.9792468196294886,0.9795187063449969
46600,0.9792107394306969,0.979580972530887
46700,0.9792699690001082,0.9796460944339954
46800,0.9794499617738196,0.9797431354666113
46900,0.9794993972781659,0.9798255105280963
47000,0.9795896407039115,0.9799124725996124
47100,0.9796819527578012,0.9800009076566849
47200,0.9797767990095213,0.9800914935150286
47300,0.9798737985924837,0.9801845050984569
47400,0.979972870346543,0.9802827201786211
47500,0.9800801607913211,0.9803909405668599
47600,0.9801930047754678,0.9805050285780229
47700,0.9803081336422276,0.9806203444458718
47800,0.980429409093126,0.9807393275600452
47900,0.980563772584423,0.9808608792018456
48000,0.9806974530390213,0.9809755057441044
48100,0.9808327421080514,0.9810907611505559
48200,0.9809786332460714,0.9812130571973686
48300,0.9811385747571502,0.9813192174854721
48400,0.98121784910412,0.9814057949789047
48500,0.9810436988562447,0.9814386239622862
48600,0.9808769588090563,0.9812499256315531
48700,0.9807963013185201,0.9810234735345362
48800,0.9808690286680974,0.981145833668757
48900,0.9809433889236784,0.9812191712120434
49000,0.981019398294213,0.9812893385006476
49100,0.9810986992513356,0.9813677844416467
49200,0.9811719315649233,0.9814542752133368
49300,0.9812563700672212,0.9815372193986216
49400,0.9813434792480865,0.9816137766546569
49500,0.9814153640164307,0.9816797715136629
49600,0.9814791317263699,0.9817422457958578
49700,0.9814768944980465,0.9818106891924429
49800,0.9814272506764643,0.9817082327253605
49900,0.9814677765753821,0.9817022394516463
50000,0.981295365445045,0.9817200800013347
