# Time(s) Theta1(rad) Theta2(rad)
3.399999999999999911e+00 -8.633260817226967587e-01 -3.010519927451086541e+00
3.410000000000000142e+00 -8.270297184407648938e-01 -2.992156348513807629e+00
3.419999999999999929e+00 -7.896209682036106070e-01 -2.971895597148524359e+00
3.430000000000000160e+00 -7.511201395903677192e-01 -2.949659280391296878e+00
3.439999999999999947e+00 -7.115541564497188665e-01 -2.925373237652280523e+00
3.450000000000000178e+00 -6.709573269874430368e-01 -2.898968578672795005e+00
3.459999999999999964e+00 -6.293720991762006278e-01 -2.870382741871368104e+00
3.470000000000000195e+00 -5.868497920509198051e-01 -2.839560562139770372e+00
3.479999999999999982e+00 -5.434512919731306901e-01 -2.806455337829425911e+00
3.490000000000000213e+00 -4.992476709369344512e-01 -2.771029836511908151e+00
3.500000000000000000e+00 -4.543207412862425021e-01 -2.733257267886455288e+00
3.510000000000000231e+00 -4.087635205047726594e-01 -2.693122189546266476e+00
3.520000000000000018e+00 -3.626805589277454778e-01 -2.650621280970774762e+00
3.530000000000000249e+00 -3.161881471592240533e-01 -2.605764017994485648e+00
3.540000000000000036e+00 -2.694143696966270762e-01 -2.558573204757872421e+00
3.550000000000000266e+00 -2.224989720518744662e-01 -2.509085315663539539e+00
3.560000000000000053e+00 -1.755930346325740299e-01 -2.457350646381068593e+00
3.570000000000000284e+00 -1.288584230005629938e-01 -2.403433229320223408e+00
3.580000000000000071e+00 -8.246699371956660307e-02 -2.347410471186564873e+00
3.589999999999999858e+00 -3.659953947494781756e-02 -2.289372487627261865e+00
3.600000000000000089e+00 8.555539688495941708e-03 -2.229421087927886180e+00
3.609999999999999876e+00 5.280383405529352758e-02 -2.167668384267412929e+00
3.620000000000000107e+00 9.594677874734525158e-02 -2.104235001098632374e+00
3.629999999999999893e+00 1.377837351252838294e-01 -2.039247879448691236e+00
3.640000000000000124e+00 1.781142337729565428e-01 -1.972837681027372003e+00
3.649999999999999911e+00 2.167403000740951435e-01 -1.905135845604892353e+00
3.660000000000000142e+00 2.534687691306770629e-01 -1.836271334697345381e+00
3.669999999999999929e+00 2.881134625151935413e-01 -1.766367161036989764e+00
3.680000000000000160e+00 3.204971015422862779e-01 -1.695536787604092321e+00
3.689999999999999947e+00 3.504528290333031593e-01 -1.623880486868865658e+00
3.700000000000000178e+00 3.778252163368091554e-01 -1.551481756684802260e+00
3.709999999999999964e+00 4.024706545463574425e-01 -1.478403843919969818e+00
3.720000000000000195e+00 4.242570439894909895e-01 -1.404686412328661982e+00
